TEAM_ABBREVIATION,OPP_DEF_RATING,SEASON
ATL,-0.3,2022-23
BOS,-6.5,2022-23
BKN,-0.9,2022-23
CHA,6.2,2022-23
CHI,-1.3,2022-23
CLE,-5.4,2022-23
DAL,-0.1,2022-23
DEN,-3.3,2022-23
DET,8.2,2022-23
GSW,-1.8,2022-23
HOU,7.9,2022-23
IND,3.2,2022-23
,-0.5,2022-23
LAL,-0.6,2022-23
MEM,-3.9,2022-23
MIA,0.3,2022-23
MIL,-3.6,2022-23
MIN,-0.0,2022-23
NOP,-1.9,2022-23
NYK,-2.9,2022-23
OKC,-1.1,2022-23
ORL,2.6,2022-23
PHI,-4.3,2022-23
PHX,-2.1,2022-23
POR,4.0,2022-23
SAC,-2.6,2022-23
SAS,10.0,2022-23
TOR,-1.5,2022-23
UTA,0.9,2022-23
WAS,1.2,2022-23
ATL,2.2,2023-24
BOS,-11.3,2023-24
BKN,2.9,2023-24
CHA,10.2,2023-24
CHI,1.4,2023-24
CLE,-2.4,2023-24
DAL,-2.2,2023-24
DEN,-5.3,2023-24
DET,9.1,2023-24
GSW,-2.6,2023-24
HOU,-1.1,2023-24
IND,-3.0,2023-24
,-3.3,2023-24
LAL,-0.6,2023-24
MEM,7.0,2023-24
MIA,-1.8,2023-24
MIL,-2.6,2023-24
MIN,-6.5,2023-24
NOP,-4.4,2023-24
NYK,-4.6,2023-24
OKC,-7.4,2023-24
ORL,-2.0,2023-24
PHI,-3.0,2023-24
PHX,-3.1,2023-24
POR,9.0,2023-24
SAC,-1.7,2023-24
SAS,6.5,2023-24
TOR,6.4,2023-24
UTA,4.9,2023-24
WAS,9.3,2023-24
ATL,1.1,2024-25
BOS,-9.1,2024-25
BKN,7.1,2024-25
CHA,9.1,2024-25
CHI,1.6,2024-25
CLE,-9.5,2024-25
DAL,1.2,2024-25
DEN,-3.9,2024-25
DET,-1.9,2024-25
GSW,-3.3,2024-25
HOU,-4.5,2024-25
IND,-2.2,2024-25
,-4.7,2024-25
LAL,-1.2,2024-25
MEM,-4.9,2024-25
MIA,-0.6,2024-25
MIL,-2.5,2024-25
MIN,-5.0,2024-25
NOP,9.4,2024-25
NYK,-4.1,2024-25
OKC,-12.9,2024-25
ORL,0.1,2024-25
PHI,6.2,2024-25
PHX,3.0,2024-25
POR,3.0,2024-25
SAC,-0.5,2024-25
SAS,2.8,2024-25
TOR,4.3,2024-25
UTA,9.3,2024-25
WAS,12.4,2024-25
