SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON,HOME,REST_DAYS,B2B,ROLL_PTS_3,ROLL_PTS_5,ROLL_PTS_10,SEASON_AVG_PTS,OPPONENT,OPP_DEF_RATING
22024,2544,22400062,2024-10-22,LAL vs. MIN,W,35,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,-6,1,LeBron James,2024-25,1,7.0,0,23.59433962264151,23.59433962264151,23.59433962264151,23.59433962264151,MIN,-5.0
22024,2544,22400085,2024-10-25,LAL vs. PHX,W,35,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,14,1,LeBron James,2024-25,1,3.0,0,16.0,16.0,16.0,16.0,PHX,3.0
22024,2544,22400096,2024-10-26,LAL vs. SAC,W,34,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,13,1,LeBron James,2024-25,1,1.0,1,18.5,18.5,18.5,18.5,SAC,-0.5
22024,2544,22400111,2024-10-28,LAL @ PHX,L,36,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,-17,1,LeBron James,2024-25,0,2.0,0,23.0,23.0,23.0,23.0,PHX,3.0
22024,2544,22400118,2024-10-30,LAL @ CLE,L,29,9,13,0.692,1,3,0.333,7,7,1.0,1,5,6,3,0,0,6,2,26,-17,1,LeBron James,2024-25,0,2.0,0,21.333333333333332,20.0,20.0,20.0,CLE,-9.5
22024,2544,22400137,2024-11-01,LAL @ TOR,W,36,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,11,1,LeBron James,2024-25,0,2.0,0,23.0,21.2,21.2,21.2,TOR,4.3
22024,2544,22400156,2024-11-04,LAL @ DET,L,40,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,-16,1,LeBron James,2024-25,0,3.0,0,21.333333333333332,23.4,22.166666666666668,22.166666666666668,DET,-1.9
22024,2544,22400174,2024-11-06,LAL @ MEM,L,35,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,-21,1,LeBron James,2024-25,0,2.0,0,24.333333333333332,23.2,21.857142857142858,21.857142857142858,MEM,-4.9
22024,2544,22400195,2024-11-08,LAL vs. PHI,W,34,9,14,0.643,2,4,0.5,1,1,1.0,0,12,12,13,0,3,2,0,21,12,1,LeBron James,2024-25,1,2.0,0,28.666666666666668,24.6,24.0,24.0,PHI,6.2
22024,2544,22400211,2024-11-10,LAL vs. TOR,W,35,6,14,0.429,0,3,0.0,7,7,1.0,2,8,10,16,1,0,3,0,19,13,1,LeBron James,2024-25,1,2.0,0,26.666666666666668,26.6,23.666666666666668,23.666666666666668,TOR,4.3
22024,2544,22400225,2024-11-13,LAL vs. MEM,W,37,13,22,0.591,4,7,0.571,5,8,0.625,1,11,12,14,1,0,6,2,35,3,1,LeBron James,2024-25,1,3.0,0,26.333333333333332,25.2,23.2,23.2,MEM,-4.9
22024,2544,22400015,2024-11-15,LAL @ SAS,W,38,6,12,0.5,1,4,0.25,2,4,0.5,1,15,16,12,1,0,7,0,15,3,1,LeBron James,2024-25,0,2.0,0,25.0,26.8,25.1,24.272727272727273,SAS,2.8
22024,2544,22400231,2024-11-16,LAL @ NOP,W,37,8,19,0.421,2,7,0.286,3,5,0.6,4,3,7,5,1,0,6,1,21,1,1,LeBron James,2024-25,0,1.0,1,23.0,25.8,24.5,23.5,NOP,9.4
22024,2544,22400026,2024-11-19,LAL vs. UTA,W,34,9,17,0.529,1,5,0.2,7,11,0.636,0,2,2,12,0,0,4,1,26,-5,1,LeBron James,2024-25,1,3.0,0,23.666666666666668,22.2,23.4,23.307692307692307,UTA,9.3
22024,2544,22400263,2024-11-21,LAL vs. ORL,L,37,12,22,0.545,5,9,0.556,2,4,0.5,2,8,10,7,0,1,4,0,31,-8,1,LeBron James,2024-25,1,2.0,0,20.666666666666668,23.2,24.9,23.5,ORL,0.1
22024,2544,22400270,2024-11-23,LAL vs. DEN,L,35,7,17,0.412,1,4,0.25,3,3,1.0,0,6,6,7,3,0,6,3,18,-25,1,LeBron James,2024-25,1,2.0,0,26.0,25.6,25.4,24.0,DEN,-3.9
22024,2544,22400039,2024-11-26,LAL @ PHX,L,35,7,16,0.438,2,7,0.286,2,2,1.0,1,7,8,10,0,0,5,0,18,-30,1,LeBron James,2024-25,0,3.0,0,25.0,22.2,24.5,23.625,PHX,3.0
22024,2544,22400296,2024-11-27,LAL @ SAS,W,33,8,18,0.444,0,2,0.0,0,0,0.0,3,7,10,11,1,1,5,0,16,4,1,LeBron James,2024-25,0,1.0,1,22.333333333333332,22.8,24.3,23.294117647058822,SAS,2.8
22024,2544,22400048,2024-11-29,LAL vs. OKC,L,34,5,13,0.385,0,4,0.0,2,2,1.0,0,8,8,6,0,0,5,0,12,-12,1,LeBron James,2024-25,1,2.0,0,17.333333333333332,21.8,22.0,22.88888888888889,OKC,-12.9
22024,2544,22400311,2024-12-01,LAL @ UTA,W,36,12,28,0.429,0,9,0.0,3,3,1.0,1,4,5,14,0,2,3,1,27,0,1,LeBron James,2024-25,0,2.0,0,15.333333333333334,19.0,21.1,22.31578947368421,UTA,9.3
22024,2544,22400318,2024-12-02,LAL @ MIN,L,31,4,16,0.25,0,4,0.0,2,4,0.5,3,5,8,4,0,0,6,1,10,-28,1,LeBron James,2024-25,0,1.0,1,18.333333333333332,18.2,21.9,22.55,MIN,-5.0
22024,2544,22400321,2024-12-04,LAL @ MIA,L,29,12,18,0.667,1,4,0.25,4,4,1.0,1,4,5,8,1,0,5,2,29,-21,1,LeBron James,2024-25,0,2.0,0,16.333333333333332,16.6,19.4,21.952380952380953,MIA,-0.6
22024,2544,22400334,2024-12-06,LAL @ ATL,L,43,14,25,0.56,6,11,0.545,5,6,0.833,0,10,10,11,2,3,4,3,39,3,1,LeBron James,2024-25,0,2.0,0,22.0,18.8,20.8,22.272727272727273,ATL,1.1
22024,2544,22401220,2024-12-15,LAL vs. MEM,W,34,7,17,0.412,3,6,0.5,1,4,0.25,4,4,8,8,1,2,5,2,18,0,1,LeBron James,2024-25,1,7.0,0,26.0,23.4,22.6,23.0,MEM,-4.9
22024,2544,22400372,2024-12-19,LAL @ SAC,W,34,8,21,0.381,1,4,0.25,2,2,1.0,0,6,6,7,0,1,2,1,19,13,1,LeBron James,2024-25,0,4.0,0,28.666666666666668,24.6,21.8,22.791666666666668,SAC,-0.5
22024,2544,22400376,2024-12-21,LAL @ SAC,W,34,13,24,0.542,1,8,0.125,5,6,0.833,0,7,7,6,4,0,4,2,32,10,1,LeBron James,2024-25,0,2.0,0,25.333333333333332,23.0,20.6,22.64,SAC,-0.5
22024,2544,22400404,2024-12-23,LAL vs. DET,L,35,10,16,0.625,2,4,0.5,6,7,0.857,2,9,11,11,0,0,2,1,28,-1,1,LeBron James,2024-25,1,2.0,0,23.0,27.4,22.0,23.0,DET,-1.9
22024,2544,22400408,2024-12-25,LAL @ GSW,W,37,12,22,0.545,2,4,0.5,5,5,1.0,0,4,4,10,2,1,1,3,31,4,1,LeBron James,2024-25,0,2.0,0,26.333333333333332,27.2,23.0,23.185185185185187,GSW,-3.3
22024,2544,22400454,2024-12-31,LAL vs. CLE,L,34,9,17,0.529,3,6,0.5,2,2,1.0,0,4,4,7,0,1,2,1,23,-11,1,LeBron James,2024-25,1,6.0,0,30.333333333333332,25.6,24.5,23.464285714285715,CLE,-9.5
22024,2544,22400468,2025-01-02,LAL vs. POR,W,36,15,25,0.6,7,10,0.7,1,2,0.5,1,2,3,8,0,0,4,1,38,4,1,LeBron James,2024-25,1,2.0,0,27.333333333333332,26.6,25.6,23.448275862068964,POR,3.0
22024,2544,22400477,2025-01-03,LAL vs. ATL,W,30,13,20,0.65,2,5,0.4,2,2,1.0,0,3,3,8,0,0,3,3,30,4,1,LeBron James,2024-25,1,1.0,1,30.666666666666668,30.4,26.7,23.933333333333334,ATL,1.1
22024,2544,22400491,2025-01-05,LAL @ HOU,L,36,8,16,0.5,4,7,0.571,1,2,0.5,1,12,13,9,1,0,2,4,21,-13,1,LeBron James,2024-25,0,2.0,0,30.333333333333332,30.0,28.7,24.129032258064516,HOU,-4.5
22024,2544,22400504,2025-01-07,LAL @ DAL,L,35,6,12,0.5,1,4,0.25,5,6,0.833,0,10,10,8,1,0,2,0,18,-12,1,LeBron James,2024-25,0,2.0,0,29.666666666666668,28.6,27.9,24.03125,DAL,1.2
22024,2544,22400552,2025-01-13,LAL vs. SAS,L,32,7,11,0.636,2,3,0.667,2,4,0.5,1,4,5,8,1,1,7,3,18,-15,1,LeBron James,2024-25,1,6.0,0,23.0,26.0,25.8,23.848484848484848,SAS,2.8
22024,2544,22400570,2025-01-15,LAL vs. MIA,W,38,9,15,0.6,3,6,0.5,1,2,0.5,1,4,5,9,2,0,2,0,22,14,1,LeBron James,2024-25,1,2.0,0,19.0,25.0,25.8,23.676470588235293,MIA,-0.6
22024,2544,22400585,2025-01-17,LAL vs. BKN,W,35,12,17,0.706,4,6,0.667,1,2,0.5,1,6,7,8,1,2,5,2,29,-11,1,LeBron James,2024-25,1,2.0,0,19.333333333333332,21.8,26.1,23.62857142857143,BKN,7.1
22024,2544,22400596,2025-01-19,LAL @ LAC,L,35,9,20,0.45,2,6,0.333,5,6,0.833,2,3,5,11,3,1,5,3,25,-3,1,LeBron James,2024-25,0,2.0,0,23.0,21.6,25.8,23.77777777777778,LAC,0.0
22024,2544,22400610,2025-01-21,LAL vs. WAS,W,36,8,18,0.444,2,6,0.333,3,3,1.0,0,10,10,13,2,1,5,0,21,19,1,LeBron James,2024-25,1,2.0,0,25.333333333333332,22.4,25.5,23.81081081081081,WAS,12.4
22024,2544,22400629,2025-01-23,LAL vs. BOS,W,31,9,20,0.45,0,2,0.0,2,2,1.0,3,11,14,6,0,0,2,0,20,7,1,LeBron James,2024-25,1,2.0,0,25.0,23.0,24.5,23.736842105263158,BOS,-9.1
22024,2544,22400644,2025-01-25,LAL @ GSW,W,35,12,25,0.48,0,1,0.0,1,2,0.5,1,4,5,12,1,0,3,0,25,11,1,LeBron James,2024-25,0,2.0,0,22.0,23.4,24.2,23.641025641025642,GSW,-3.3
